filename,width,height,class,xmin,ymin,xmax,ymax
Penguins010.JPEG,677,280,penguin,99,100,205,204
Penguins010.JPEG,677,280,penguin,175,102,229,194
Penguins010.JPEG,677,280,penguin,219,127,291,215
Penguins010.JPEG,677,280,penguin,280,129,329,205
Penguins010.JPEG,677,280,penguin,319,110,375,232
Penguins010.JPEG,677,280,penguin,358,101,402,220
Penguins010.JPEG,677,280,penguin,398,112,426,186
Penguins010.JPEG,677,280,penguin,401,115,467,218
Penguins010.JPEG,677,280,penguin,448,103,519,237
Penguins010.JPEG,677,280,penguin,509,119,549,160
Penguins010.JPEG,677,280,penguin,536,110,597,179
Penguins010.JPEG,677,280,penguin,542,164,637,245
Penguins010.JPEG,677,280,penguin,606,113,664,241
Penguins017.JPEG,349,280,penguin,54,49,162,212
Penguins017.JPEG,349,280,penguin,150,37,265,191
Penguins002.JPEG,390,280,penguin,134,89,275,241
Penguins020.JPEG,462,280,penguin,1,141,54,209
Penguins020.JPEG,462,280,penguin,9,198,83,259
Penguins020.JPEG,462,280,penguin,298,76,396,174
Penguins011.JPEG,423,280,penguin,7,43,179,225
Penguins011.JPEG,423,280,penguin,183,18,302,219
Penguins011.JPEG,423,280,penguin,284,31,360,198
Penguins011.JPEG,423,280,penguin,329,48,395,182
Penguins015.JPEG,584,280,penguin,86,72,137,181
Penguins015.JPEG,584,280,penguin,124,87,178,222
Penguins015.JPEG,584,280,penguin,167,75,256,218
Penguins015.JPEG,584,280,penguin,340,60,420,198
Penguins015.JPEG,584,280,penguin,411,44,486,172
Penguins007.JPEG,491,280,penguin,111,49,281,254
Penguins007.JPEG,491,280,penguin,227,85,294,208
Penguins007.JPEG,491,280,penguin,277,90,332,209
Penguins007.JPEG,491,280,penguin,340,97,397,203
Penguins001.JPEG,182,280,penguin,11,18,162,236
Penguins005.JPEG,390,280,penguin,140,35,240,248
Penguins005.JPEG,390,280,penguin,75,51,148,199
Penguins005.JPEG,390,280,penguin,227,55,284,170
Penguins005.JPEG,390,280,penguin,281,50,348,204
Penguins004.JPEG,390,280,penguin,46,134,110,219
Penguins004.JPEG,390,280,penguin,118,106,180,174
Penguins004.JPEG,390,280,penguin,180,87,262,132
Penguins004.JPEG,390,280,penguin,125,45,173,97
Penguins004.JPEG,390,280,penguin,257,73,319,125
Penguins004.JPEG,390,280,penguin,255,34,293,88
Penguins004.JPEG,390,280,penguin,239,68,291,98
Penguins004.JPEG,390,280,penguin,165,52,210,96
Penguins012.JPEG,390,280,penguin,123,93,242,248
Penguins003.JPEG,390,280,penguin,190,120,245,195
Penguins019.JPEG,462,280,penguin,3,45,93,174
Penguins019.JPEG,462,280,penguin,96,40,166,158
Penguins019.JPEG,462,280,penguin,178,33,270,208
Penguins019.JPEG,462,280,penguin,259,14,330,169
Penguins019.JPEG,462,280,penguin,296,48,408,225
Penguins009.JPEG,462,280,penguin,33,2,438,260
Penguins008.JPEG,183,280,penguin,66,62,156,183
Penguins016.JPEG,388,280,penguin,46,44,183,250
Penguins014.JPEG,545,280,penguin,217,79,326,242
Penguins013.JPEG,431,280,penguin,5,99,66,219
Penguins013.JPEG,431,280,penguin,50,123,131,241
Penguins013.JPEG,431,280,penguin,104,84,166,181
Penguins013.JPEG,431,280,penguin,133,123,204,239
Penguins013.JPEG,431,280,penguin,189,112,251,223
Penguins013.JPEG,431,280,penguin,236,107,313,227
Penguins013.JPEG,431,280,penguin,292,95,356,218
Penguins013.JPEG,431,280,penguin,358,103,422,233
